"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2016","21.4715","21.2380","21.4810","21.1000","","0.47%"
"03/11/2016","21.3720","21.2380","21.4497","21.1440","","-0.51%"
"03/10/2016","21.4810","21.2380","21.5500","21.0500","","0.82%"
"03/09/2016","21.3073","21.2380","21.4380","21.0956","","-1.31%"
"03/08/2016","21.5904","21.2380","21.6000","21.1440","","0.42%"
"03/07/2016","21.5010","21.2380","21.5200","21.0000","","0.28%"
"03/04/2016","21.4405","21.2380","21.4997","21.1440","","-0.09%"
"03/03/2016","21.4600","21.2380","21.4705","21.0000","","0.05%"
"03/02/2016","21.4500","21.2380","21.4500","21.1440","","-0.26%"
"03/01/2016","21.5050","21.2380","21.5330","21.1000","","0.54%"
"02/29/2016","21.3905","21.2180","21.4380","21.1000","","-0.30%"
"02/26/2016","21.4550","21.2180","21.5150","21.1240","","0.13%"
"02/25/2016","21.4265","21.2180","21.4550","21.1240","","-0.07%"
"02/24/2016","21.4410","21.2180","21.4600","21.1240","","-0.02%"
"02/23/2016","21.4455","21.1620","21.4550","21.0675","","0.07%"
"02/22/2016","21.4310","21.1620","21.4405","21.0675","","0.32%"
"02/19/2016","21.3620","21.1620","21.4043","21.0009","","-0.37%"
"02/18/2016","21.4405","21.1620","21.4405","21.0675","","0.28%"
"02/17/2016","21.3800","21.1620","21.4255","21.0675","","0.16%"
"02/16/2016","21.3466","21.1620","21.4805","21.0675","","-0.26%"
"02/15/2016","21.4032","21.1620","21.4032","21.0675","","0.23%"
"02/12/2016","21.3550","21.1620","21.4577","21.0675","","-0.09%"
"02/11/2016","21.3750","21.1100","21.4127","21.0675","","-0.10%"
"02/10/2016","21.3966","21.1620","21.5205","21.0675","","0.24%"
"02/09/2016","21.3455","21.1620","21.4577","21.0888","","-0.33%"
"02/08/2016","21.4160","21.1620","21.4372","21.0675","","0.19%"
"02/05/2016","21.3750","21.1620","21.4222","21.0675","","-0.16%"
"02/04/2016","21.4100","21.1620","21.4100","21.0675","","0.02%"
"02/03/2016","21.4055","21.1620","21.4055","21.1387","","0.05%"
"02/02/2016","21.3955","21.1580","21.4187","21.0635","","-0.01%"
"02/01/2016","21.3966","21.1540","21.4658","21.0595","","0.15%"
"01/29/2016","21.3655","21.1420","21.3900","21.0590","","-0.05%"
"01/28/2016","21.3756","21.1420","21.4186","21.0475","","0.16%"
"01/27/2016","21.3406","21.1420","21.3600","21.0475","","-0.14%"
"01/26/2016","21.3705","21.1380","21.4050","20.9919","","-0.08%"
"01/25/2016","21.3866","21.1340","21.4478","21.0395","","0.12%"
"01/22/2016","21.3605","21.1300","21.4566","21.0355","","0.09%"
"01/21/2016","21.3406","21.1260","21.3550","21.0145","","0.00%"
"01/20/2016","21.3406","21.1260","21.3877","21.0315","","-0.09%"
"01/19/2016","21.3605","21.1220","21.3605","21.0105","","0.05%"
"01/18/2016","21.3500","21.1180","21.3500","21.0235","","0.33%"
"01/15/2016","21.2801","21.1140","21.3180","21.0195","","0.09%"
"01/14/2016","21.2611","21.1060","21.3140","21.0115","","-0.11%"
"01/13/2016","21.2836","21.1060","21.3060","21.0115","","0.02%"
"01/12/2016","21.2801","21.1020","21.3011","21.0075","","-0.09%"
"01/11/2016","21.2987","21.0900","21.3199","20.9955","","-0.14%"
"01/08/2016","21.3291","21.0900","21.3503","20.9955","","0.02%"
"01/07/2016","21.3250","21.0900","21.3550","20.9955","","-0.12%"
"01/06/2016","21.3500","21.0900","21.3500","20.9955","","-0.02%"
"01/05/2016","21.3550","21.0860","21.3550","20.9910","","0.30%"
"01/04/2016","21.2906","21.0820","21.3050","20.9910","","0.49%"
"01/01/2016","21.1870","21.0780","21.1870","21.0780","","-0.34%"
"12/31/2015","21.2600","21.0740","21.3280","20.9790","","-0.11%"
"12/30/2015","21.2826","21.0700","21.3037","20.5357","","0.15%"
"12/29/2015","21.2500","21.0620","21.3200","21.0000","","0.66%"
"12/28/2015","21.1113","21.0620","21.3219","20.7573","","-0.26%"
"12/25/2015","21.1670","21.0580","21.1670","21.0580","","-0.41%"
"12/24/2015","21.2550","21.0540","21.3030","20.9590","","0.02%"
"12/23/2015","21.2500","20.8435","21.2600","20.8435","","0.00%"
"12/22/2015","21.2500","21.0500","21.3040","20.9550","","0.47%"
"12/21/2015","21.1508","21.0460","21.2550","20.5357","","-0.42%"
"12/18/2015","21.2406","21.0420","21.3166","20.9300","","-0.09%"
"12/17/2015","21.2600","21.0380","21.3000","20.4341","","0.05%"
"12/16/2015","21.2500","20.1323","21.2550","20.1323","","3.48%"
"12/15/2015","20.5357","21.0300","21.2500","20.2324","","-2.36%"
"12/14/2015","21.0314","21.0260","21.2300","20.5357","","-1.05%"
"12/11/2015","21.2550","20.9860","21.2550","20.8910","","1.11%"
"12/10/2015","21.0215","20.5357","21.1500","20.4711","","1.86%"
"12/09/2015","20.6368","20.9860","21.1860","20.3330","","-2.31%"
"12/08/2015","21.1250","20.9860","21.1860","20.5357","","0.85%"
"12/07/2015","20.9469","20.9860","21.1860","20.6938","","0.99%"
"12/04/2015","20.7421","20.9860","21.1860","20.4378","","-0.49%"
"12/03/2015","20.8442","20.9860","21.1860","20.5394","","-0.33%"
"12/02/2015","20.9135","20.9860","21.1860","20.5394","","-0.02%"
"12/01/2015","20.9185","20.9860","21.1860","20.6133","","-0.14%"
"11/30/2015","20.9469","20.9860","21.1860","20.5586","","-0.61%"
"11/27/2015","21.0750","20.9820","21.1860","20.6821","","-0.06%"
"11/26/2015","21.0870","20.9780","21.1820","20.8830","","1.07%"
"11/25/2015","20.8635","20.9740","21.1780","20.5586","","-0.98%"
"11/24/2015","21.0696","20.9660","21.1740","20.6044","","1.76%"
"11/23/2015","20.7050","20.9660","21.1660","20.4009","","-1.50%"
"11/20/2015","21.0197","20.9620","21.1660","20.6044","","0.53%"
"11/19/2015","20.9095","20.9580","21.1620","20.6044","","-0.49%"
"11/18/2015","21.0125","20.9540","21.1580","20.7068","","-0.67%"
"11/17/2015","21.1550","20.9380","21.1550","20.6568","","0.28%"
"11/16/2015","21.0961","20.9380","21.2000","20.7286","","-0.25%"
"11/13/2015","21.1500","20.9380","21.1500","20.8425","","0.00%"
"11/12/2015","21.1500","20.9380","21.1500","20.8425","","0.51%"
"11/11/2015","21.0425","20.9340","21.1380","20.8385","","-0.04%"
"11/10/2015","21.0500","20.9300","21.1340","20.8345","","-0.31%"
"11/09/2015","21.1160","20.9260","21.1550","20.8098","","0.00%"
"11/06/2015","21.1159","20.9220","21.3261","20.8049","","-0.04%"
"11/05/2015","21.1250","20.9180","21.1571","20.8000","","-0.15%"
"11/04/2015","21.1561","20.9140","21.1561","20.8185","","0.01%"
"11/03/2015","21.1550","20.9100","21.1571","20.8145","","0.00%"
"11/02/2015","21.1550","20.9060","21.1571","20.8025","","0.00%"
"10/30/2015","21.1550","20.9020","21.1550","20.8065","","0.02%"
"10/29/2015","21.1500","20.8980","21.1550","20.8025","","0.29%"
"10/28/2015","21.0890","20.8900","21.1021","20.7945","","-0.08%"
"10/27/2015","21.1050","20.8900","21.1050","20.7924","","-0.12%"
"10/26/2015","21.1300","20.8860","21.1321","20.7905","","0.24%"
"10/23/2015","21.0800","20.8820","21.0860","20.7865","","-0.17%"
"10/22/2015","21.1150","20.8780","21.1321","20.7825","","-0.05%"
"10/21/2015","21.1250","20.8740","21.1321","20.7785","","0.19%"
"10/20/2015","21.0850","20.8000","21.1021","20.7745","","0.02%"
"10/19/2015","21.0800","20.8660","21.0800","20.7700","","-0.14%"
"10/16/2015","21.1090","20.8620","21.1230","20.7660","","0.14%"
"10/15/2015","21.0800","20.8479","21.0800","20.7620","","0.00%"
"10/14/2015","21.0800","20.8540","21.0800","20.7580","","0.07%"
"10/13/2015","21.0650","20.8500","21.0821","20.7580","","0.53%"
"10/12/2015","20.9540","20.8460","21.0500","20.7540","","-0.53%"
"10/09/2015","21.0650","20.8420","21.0671","20.7460","","0.07%"
"10/08/2015","21.0500","20.8300","21.0800","20.7420","","0.44%"
"10/07/2015","20.9568","20.8340","21.0600","20.6514","","-0.09%"
"10/06/2015","20.9751","20.8279","21.0500","20.7209","","-0.38%"
"10/05/2015","21.0550","20.8260","21.0550","20.7300","","0.21%"
